pair_id,seed,before_experiment_id,after_experiment_id,before_variant,after_variant,before_pass,after_pass,hardware_transition,before_failure_class,after_failure_class,before_abort_reason,after_abort_reason,before_abort_lane,after_abort_lane,feature_key,feature_layer,feature,metric,family,lane,bit,control_bit,scope,before_value,after_value,delta,before_abs,after_abs,delta_abs,abs_improved,abs_worsened,sign_flip
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__idelay_data__lane1__dq15__ctrl_none__cells__value_ps,json,json_cell_count__idelay_data__lane1__dq15__ctrl_none__cells__value_ps,json_cell_count,idelay_data,lane1,dq15,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__idelay_data__lane1__dq8__ctrl_none__cells__value_ps,json,json_cell_count__idelay_data__lane1__dq8__ctrl_none__cells__value_ps,json_cell_count,idelay_data,lane1,dq8,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__idelay_data__lane1__dq9__ctrl_none__cells__value_ps,json,json_cell_count__idelay_data__lane1__dq9__ctrl_none__cells__value_ps,json_cell_count,idelay_data,lane1,dq9,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__idelay_dqs__lane0__dqs0__ctrl_none__cells__value_ps,json,json_cell_count__idelay_dqs__lane0__dqs0__ctrl_none__cells__value_ps,json_cell_count,idelay_dqs,lane0,dqs0,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__idelay_dqs__lane1__dqs1__ctrl_none__cells__value_ps,json,json_cell_count__idelay_dqs__lane1__dqs1__ctrl_none__cells__value_ps,json_cell_count,idelay_dqs,lane1,dqs1,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__idelayctrl__all__no_bit__ctrl_none__cells__value_ps,json,json_cell_count__idelayctrl__all__no_bit__ctrl_none__cells__value_ps,json_cell_count,idelayctrl,all,,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__iserdes_data__lane0__dq0__ctrl_none__cells__value_ps,json,json_cell_count__iserdes_data__lane0__dq0__ctrl_none__cells__value_ps,json_cell_count,iserdes_data,lane0,dq0,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__iserdes_data__lane0__dq1__ctrl_none__cells__value_ps,json,json_cell_count__iserdes_data__lane0__dq1__ctrl_none__cells__value_ps,json_cell_count,iserdes_data,lane0,dq1,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__iserdes_data__lane0__dq2__ctrl_none__cells__value_ps,json,json_cell_count__iserdes_data__lane0__dq2__ctrl_none__cells__value_ps,json_cell_count,iserdes_data,lane0,dq2,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__iserdes_data__lane0__dq3__ctrl_none__cells__value_ps,json,json_cell_count__iserdes_data__lane0__dq3__ctrl_none__cells__value_ps,json_cell_count,iserdes_data,lane0,dq3,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__iserdes_data__lane0__dq4__ctrl_none__cells__value_ps,json,json_cell_count__iserdes_data__lane0__dq4__ctrl_none__cells__value_ps,json_cell_count,iserdes_data,lane0,dq4,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__iserdes_data__lane0__dq5__ctrl_none__cells__value_ps,json,json_cell_count__iserdes_data__lane0__dq5__ctrl_none__cells__value_ps,json_cell_count,iserdes_data,lane0,dq5,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__iserdes_data__lane0__dq6__ctrl_none__cells__value_ps,json,json_cell_count__iserdes_data__lane0__dq6__ctrl_none__cells__value_ps,json_cell_count,iserdes_data,lane0,dq6,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__iserdes_data__lane0__dq7__ctrl_none__cells__value_ps,json,json_cell_count__iserdes_data__lane0__dq7__ctrl_none__cells__value_ps,json_cell_count,iserdes_data,lane0,dq7,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__iserdes_data__lane1__dq10__ctrl_none__cells__value_ps,json,json_cell_count__iserdes_data__lane1__dq10__ctrl_none__cells__value_ps,json_cell_count,iserdes_data,lane1,dq10,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__iserdes_data__lane1__dq11__ctrl_none__cells__value_ps,json,json_cell_count__iserdes_data__lane1__dq11__ctrl_none__cells__value_ps,json_cell_count,iserdes_data,lane1,dq11,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__iserdes_data__lane1__dq12__ctrl_none__cells__value_ps,json,json_cell_count__iserdes_data__lane1__dq12__ctrl_none__cells__value_ps,json_cell_count,iserdes_data,lane1,dq12,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__iserdes_data__lane1__dq13__ctrl_none__cells__value_ps,json,json_cell_count__iserdes_data__lane1__dq13__ctrl_none__cells__value_ps,json_cell_count,iserdes_data,lane1,dq13,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__iserdes_data__lane1__dq14__ctrl_none__cells__value_ps,json,json_cell_count__iserdes_data__lane1__dq14__ctrl_none__cells__value_ps,json_cell_count,iserdes_data,lane1,dq14,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__iserdes_data__lane1__dq15__ctrl_none__cells__value_ps,json,json_cell_count__iserdes_data__lane1__dq15__ctrl_none__cells__value_ps,json_cell_count,iserdes_data,lane1,dq15,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__iserdes_data__lane1__dq8__ctrl_none__cells__value_ps,json,json_cell_count__iserdes_data__lane1__dq8__ctrl_none__cells__value_ps,json_cell_count,iserdes_data,lane1,dq8,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__iserdes_data__lane1__dq9__ctrl_none__cells__value_ps,json,json_cell_count__iserdes_data__lane1__dq9__ctrl_none__cells__value_ps,json_cell_count,iserdes_data,lane1,dq9,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__iserdes_dqs__lane0__dqs0__ctrl_none__cells__value_ps,json,json_cell_count__iserdes_dqs__lane0__dqs0__ctrl_none__cells__value_ps,json_cell_count,iserdes_dqs,lane0,dqs0,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__iserdes_dqs__lane1__dqs1__ctrl_none__cells__value_ps,json,json_cell_count__iserdes_dqs__lane1__dqs1__ctrl_none__cells__value_ps,json_cell_count,iserdes_dqs,lane1,dqs1,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__oserdes_data__lane0__dq0__ctrl_none__cells__value_ps,json,json_cell_count__oserdes_data__lane0__dq0__ctrl_none__cells__value_ps,json_cell_count,oserdes_data,lane0,dq0,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__oserdes_data__lane0__dq1__ctrl_none__cells__value_ps,json,json_cell_count__oserdes_data__lane0__dq1__ctrl_none__cells__value_ps,json_cell_count,oserdes_data,lane0,dq1,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__oserdes_data__lane0__dq2__ctrl_none__cells__value_ps,json,json_cell_count__oserdes_data__lane0__dq2__ctrl_none__cells__value_ps,json_cell_count,oserdes_data,lane0,dq2,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__oserdes_data__lane0__dq3__ctrl_none__cells__value_ps,json,json_cell_count__oserdes_data__lane0__dq3__ctrl_none__cells__value_ps,json_cell_count,oserdes_data,lane0,dq3,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__oserdes_data__lane0__dq4__ctrl_none__cells__value_ps,json,json_cell_count__oserdes_data__lane0__dq4__ctrl_none__cells__value_ps,json_cell_count,oserdes_data,lane0,dq4,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
seed1__baseline-no-lock__to__cntvaluein3-skew-locked,1,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0,json::json_cell_count__oserdes_data__lane0__dq5__ctrl_none__cells__value_ps,json,json_cell_count__oserdes_data__lane0__dq5__ctrl_none__cells__value_ps,json_cell_count,oserdes_data,lane0,dq5,,cells,1.0,1.0,0.0,1.0,1.0,0.0,False,False,False
