pair_id,seed,before_experiment_id,after_experiment_id,before_variant,after_variant,before_pass,after_pass,hardware_transition,before_failure_class,after_failure_class,before_abort_reason,after_abort_reason,before_abort_lane,after_abort_lane
seed33__baseline-no-lock__to__cntvaluein3-skew-locked,33,baseline-no-lock-seed-33,cntvaluein3-skew-locked-seed-33,baseline-no-lock,cntvaluein3-skew-locked,True,False,pass_to_fail,pass,fail_abort2_lane0,0,2,0,0
seed34__baseline-no-lock__to__cntvaluein3-skew-locked,34,baseline-no-lock-seed-34,cntvaluein3-skew-locked-seed-34,baseline-no-lock,cntvaluein3-skew-locked,False,True,fail_to_pass,fail_abort2_lane0,pass,2,0,0,0
seed35__baseline-no-lock__to__cntvaluein3-skew-locked,35,baseline-no-lock-seed-35,cntvaluein3-skew-locked-seed-35,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0
seed36__baseline-no-lock__to__cntvaluein3-skew-locked,36,baseline-no-lock-seed-36,cntvaluein3-skew-locked-seed-36,baseline-no-lock,cntvaluein3-skew-locked,True,False,pass_to_fail,pass,fail_abort2_lane0,0,2,0,0
seed37__baseline-no-lock__to__cntvaluein3-skew-locked,37,baseline-no-lock-seed-37,cntvaluein3-skew-locked-seed-37,baseline-no-lock,cntvaluein3-skew-locked,False,True,fail_to_pass,fail_abort2_lane0,pass,2,0,0,0
seed38__baseline-no-lock__to__cntvaluein3-skew-locked,38,baseline-no-lock-seed-38,cntvaluein3-skew-locked-seed-38,baseline-no-lock,cntvaluein3-skew-locked,False,True,fail_to_pass,fail_abort2_lane0,pass,2,0,0,0
seed39__baseline-no-lock__to__cntvaluein3-skew-locked,39,baseline-no-lock-seed-39,cntvaluein3-skew-locked-seed-39,baseline-no-lock,cntvaluein3-skew-locked,True,False,pass_to_fail,pass,fail_abort2_lane0,0,2,0,0
seed40__baseline-no-lock__to__cntvaluein3-skew-locked,40,baseline-no-lock-seed-40,cntvaluein3-skew-locked-seed-40,baseline-no-lock,cntvaluein3-skew-locked,False,True,fail_to_pass,fail_abort2_lane0,pass,2,0,0,0
seed41__baseline-no-lock__to__cntvaluein3-skew-locked,41,baseline-no-lock-seed-41,cntvaluein3-skew-locked-seed-41,baseline-no-lock,cntvaluein3-skew-locked,False,False,fail_to_fail,fail_abort2_lane0,fail_abort2_lane0,2,2,0,0
seed42__baseline-no-lock__to__cntvaluein3-skew-locked,42,baseline-no-lock-seed-42,cntvaluein3-skew-locked-seed-42,baseline-no-lock,cntvaluein3-skew-locked,False,True,fail_to_pass,fail_no_abort_or_startup,pass,0,0,0,0
seed43__baseline-no-lock__to__cntvaluein3-skew-locked,43,baseline-no-lock-seed-43,cntvaluein3-skew-locked-seed-43,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0
seed44__baseline-no-lock__to__cntvaluein3-skew-locked,44,baseline-no-lock-seed-44,cntvaluein3-skew-locked-seed-44,baseline-no-lock,cntvaluein3-skew-locked,False,True,fail_to_pass,fail_no_abort_or_startup,pass,0,0,0,0
seed45__baseline-no-lock__to__cntvaluein3-skew-locked,45,baseline-no-lock-seed-45,cntvaluein3-skew-locked-seed-45,baseline-no-lock,cntvaluein3-skew-locked,False,False,fail_to_fail,fail_abort2_lane0,fail_abort2_lane0,2,2,0,0
seed46__baseline-no-lock__to__cntvaluein3-skew-locked,46,baseline-no-lock-seed-46,cntvaluein3-skew-locked-seed-46,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0
seed47__baseline-no-lock__to__cntvaluein3-skew-locked,47,baseline-no-lock-seed-47,cntvaluein3-skew-locked-seed-47,baseline-no-lock,cntvaluein3-skew-locked,False,True,fail_to_pass,fail_abort2_lane0,pass,2,0,0,0
seed48__baseline-no-lock__to__cntvaluein3-skew-locked,48,baseline-no-lock-seed-48,cntvaluein3-skew-locked-seed-48,baseline-no-lock,cntvaluein3-skew-locked,True,False,pass_to_fail,pass,fail_bist_or_wrong_read,0,0,0,0
seed49__baseline-no-lock__to__cntvaluein3-skew-locked,49,baseline-no-lock-seed-49,cntvaluein3-skew-locked-seed-49,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0
seed50__baseline-no-lock__to__cntvaluein3-skew-locked,50,baseline-no-lock-seed-50,cntvaluein3-skew-locked-seed-50,baseline-no-lock,cntvaluein3-skew-locked,True,False,pass_to_fail,pass,fail_abort2_lane0,0,2,0,0
seed51__baseline-no-lock__to__cntvaluein3-skew-locked,51,baseline-no-lock-seed-51,cntvaluein3-skew-locked-seed-51,baseline-no-lock,cntvaluein3-skew-locked,True,False,pass_to_fail,pass,fail_no_abort_or_startup,0,0,0,0
seed52__baseline-no-lock__to__cntvaluein3-skew-locked,52,baseline-no-lock-seed-52,cntvaluein3-skew-locked-seed-52,baseline-no-lock,cntvaluein3-skew-locked,True,False,pass_to_fail,pass,fail_abort2_lane0,0,2,0,0
seed53__baseline-no-lock__to__cntvaluein3-skew-locked,53,baseline-no-lock-seed-53,cntvaluein3-skew-locked-seed-53,baseline-no-lock,cntvaluein3-skew-locked,True,False,pass_to_fail,pass,fail_abort2_lane0,0,2,0,0
seed54__baseline-no-lock__to__cntvaluein3-skew-locked,54,baseline-no-lock-seed-54,cntvaluein3-skew-locked-seed-54,baseline-no-lock,cntvaluein3-skew-locked,False,True,fail_to_pass,fail_abort2_lane0,pass,2,0,0,0
seed55__baseline-no-lock__to__cntvaluein3-skew-locked,55,baseline-no-lock-seed-55,cntvaluein3-skew-locked-seed-55,baseline-no-lock,cntvaluein3-skew-locked,False,True,fail_to_pass,fail_abort2_lane0,pass,2,0,0,0
seed56__baseline-no-lock__to__cntvaluein3-skew-locked,56,baseline-no-lock-seed-56,cntvaluein3-skew-locked-seed-56,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0
seed57__baseline-no-lock__to__cntvaluein3-skew-locked,57,baseline-no-lock-seed-57,cntvaluein3-skew-locked-seed-57,baseline-no-lock,cntvaluein3-skew-locked,False,True,fail_to_pass,fail_no_abort_or_startup,pass,0,0,0,0
seed58__baseline-no-lock__to__cntvaluein3-skew-locked,58,baseline-no-lock-seed-58,cntvaluein3-skew-locked-seed-58,baseline-no-lock,cntvaluein3-skew-locked,False,True,fail_to_pass,fail_abort2_lane0,pass,2,0,0,0
seed59__baseline-no-lock__to__cntvaluein3-skew-locked,59,baseline-no-lock-seed-59,cntvaluein3-skew-locked-seed-59,baseline-no-lock,cntvaluein3-skew-locked,True,True,pass_to_pass,pass,pass,0,0,0,0
seed60__baseline-no-lock__to__cntvaluein3-skew-locked,60,baseline-no-lock-seed-60,cntvaluein3-skew-locked-seed-60,baseline-no-lock,cntvaluein3-skew-locked,False,False,fail_to_fail,fail_abort2_lane0,fail_abort2_lane0,2,2,0,0
