family,manhattan,cell,type,baseline_bel,variant_bel
read_bist_state17,7,bist_counts[51]$LUT$N,SLICE_LUTX,SLICE_X2Y195/D6LUT,SLICE_X2Y188/D6LUT
read_bist_state17,7,bist_counts[52]$LUT$N,SLICE_LUTX,SLICE_X2Y196/A6LUT,SLICE_X2Y189/A6LUT
read_bist_state17,7,bist_counts[53]$LUT$N,SLICE_LUTX,SLICE_X2Y196/B6LUT,SLICE_X2Y189/B6LUT
read_bist_state17,7,bist_counts[54]$LUT$N,SLICE_LUTX,SLICE_X2Y196/C6LUT,SLICE_X2Y189/C6LUT
read_bist_state17,7,bist_counts[55]$LUT$N,SLICE_LUTX,SLICE_X2Y196/D6LUT,SLICE_X2Y189/D6LUT
read_bist_state17,7,bist_counts[56]$LUT$N,SLICE_LUTX,SLICE_X2Y197/A6LUT,SLICE_X2Y190/A6LUT
read_bist_state17,7,bist_counts[57]$LUT$N,SLICE_LUTX,SLICE_X2Y197/B6LUT,SLICE_X2Y190/B6LUT
read_bist_state17,7,bist_counts[58]$LUT$N,SLICE_LUTX,SLICE_X2Y197/C6LUT,SLICE_X2Y190/C6LUT
read_bist_state17,7,bist_counts[59]$LUT$N,SLICE_LUTX,SLICE_X2Y197/D6LUT,SLICE_X2Y190/D6LUT
read_bist_state17,7,bist_counts[60]$LUT$N,SLICE_LUTX,SLICE_X2Y198/A6LUT,SLICE_X2Y191/A6LUT
read_bist_state17,7,bist_counts[61]$LUT$N,SLICE_LUTX,SLICE_X2Y198/B6LUT,SLICE_X2Y191/B6LUT
read_bist_state17,7,bist_counts[62]$LUT$N,SLICE_LUTX,SLICE_X2Y198/C6LUT,SLICE_X2Y191/C6LUT
read_bist_state17,7,bist_counts[63]$LUT$N,SLICE_LUTX,SLICE_X2Y198/D6LUT,SLICE_X2Y191/D6LUT
idelay_programming,6,$techmap180601$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$N$memwr$idelay_dqs_cntvaluein$rtl/ddr3_controller.v:2497$N_DATA[4:0]$N[0].A[1]$LUT$N,SLICE_LUTX,SLICE_X0Y60/A6LUT,SLICE_X0Y66/A6LUT
idelay_programming,6,ddr3_top_inst.idelay_data_cntvaluein[1]$LUT$N,SLICE_LUTX,SLICE_X0Y62/B6LUT,SLICE_X0Y68/B6LUT
idelay_programming,6,ddr3_top_inst.idelay_data_cntvaluein[2]$LUT$N,SLICE_LUTX,SLICE_X0Y62/C6LUT,SLICE_X0Y68/C6LUT
idelay_programming,6,ddr3_top_inst.idelay_data_cntvaluein[3]$LUT$N,SLICE_LUTX,SLICE_X0Y62/D6LUT,SLICE_X0Y68/D6LUT
idelay_programming,6,ddr3_top_inst.idelay_data_cntvaluein[4]$LUT$N,SLICE_LUTX,SLICE_X0Y63/A6LUT,SLICE_X0Y69/A6LUT
idelay_programming,6,ddr3_top_inst.idelay_dqs_cntvaluein[1]$LUT$N,SLICE_LUTX,SLICE_X0Y60/B6LUT,SLICE_X0Y66/B6LUT
idelay_programming,6,ddr3_top_inst.idelay_dqs_cntvaluein[2]$LUT$N,SLICE_LUTX,SLICE_X0Y60/C6LUT,SLICE_X0Y66/C6LUT
idelay_programming,6,ddr3_top_inst.idelay_dqs_cntvaluein[3]$LUT$N,SLICE_LUTX,SLICE_X0Y60/D6LUT,SLICE_X0Y66/D6LUT
idelay_programming,6,ddr3_top_inst.idelay_dqs_cntvaluein[4]$LUT$N,SLICE_LUTX,SLICE_X0Y61/A6LUT,SLICE_X0Y67/A6LUT
read_bist_state17,6,$abc$$lutddr3_top_inst.ddr3_controller_inst.shift_reg_read_pipe_d[0][1],SLICE_LUTX,SLICE_X8Y90/B5LUT,SLICE_X8Y84/B5LUT
read_bist_state17,6,$abc$$lutddr3_top_inst.ddr3_controller_inst.shift_reg_read_pipe_d[0][2],SLICE_LUTX,SLICE_X10Y88/A5LUT,SLICE_X8Y84/A5LUT
read_bist_state17,6,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[7],SLICE_LUTX,SLICE_X8Y100/A6LUT,SLICE_X11Y97/A6LUT
read_bist_state17,6,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_do_wr_d,SLICE_LUTX,SLICE_X14Y81/A5LUT,SLICE_X14Y75/A5LUT
read_bist_state17,6,ddr3_top_inst.ddr3_controller_inst.dqs_start_index_stored[1]$LUT$N,SLICE_LUTX,SLICE_X12Y63/B6LUT,SLICE_X16Y61/B6LUT
read_bist_state17,6,ddr3_top_inst.ddr3_controller_inst.dqs_start_index_stored[2]$LUT$N,SLICE_LUTX,SLICE_X12Y63/C6LUT,SLICE_X16Y61/C6LUT
read_bist_state17,6,ddr3_top_inst.ddr3_controller_inst.dqs_start_index_stored[3]$LUT$N,SLICE_LUTX,SLICE_X12Y63/D6LUT,SLICE_X16Y61/D6LUT
read_bist_state17,6,ddr3_top_inst.ddr3_controller_inst.dqs_start_index_stored[4]$LUT$N,SLICE_LUTX,SLICE_X12Y64/A6LUT,SLICE_X16Y62/A6LUT
read_bist_state17,6,ddr3_top_inst.ddr3_controller_inst.dqs_start_index_stored[5]$LUT$N,SLICE_LUTX,SLICE_X12Y64/B6LUT,SLICE_X16Y62/B6LUT
read_bist_state17,5,$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$Nlate_dq[1:0][1],SLICE_LUTX,SLICE_X5Y63/A5LUT,SLICE_X5Y68/A5LUT
read_bist_state17,5,$abc$$lutddr3_top_inst.ddr3_controller_inst.shift_reg_read_pipe_d[1][2],SLICE_LUTX,SLICE_X10Y89/B6LUT,SLICE_X11Y85/C5LUT
read_bist_state17,5,$abc$$lutddr3_top_inst.ddr3_controller_inst.shift_reg_read_pipe_d[2][2],SLICE_LUTX,SLICE_X10Y89/B5LUT,SLICE_X11Y85/B6LUT
read_bist_state17,5,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[10],SLICE_LUTX,SLICE_X8Y100/C6LUT,SLICE_X11Y102/D6LUT
read_bist_state17,5,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_row_d[10],SLICE_LUTX,SLICE_X11Y94/D6LUT,SLICE_X14Y92/A6LUT
read_bist_state17,5,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_row_d[4],SLICE_LUTX,SLICE_X11Y94/C6LUT,SLICE_X13Y91/A6LUT
read_bist_state17,4,$abc$$lut$memoryddr3_top_inst.ddr3_controller_inst.o_wb_ack_read_q$wrmux[0][1][0]$y$N[0],SLICE_LUTX,SLICE_X10Y82/B5LUT,SLICE_X9Y79/A5LUT
read_bist_state17,4,$abc$$lutddr3_top_inst.ddr3_controller_inst.shift_reg_read_pipe_d[2][1],SLICE_LUTX,SLICE_X9Y91/B5LUT,SLICE_X8Y88/B6LUT
read_bist_state17,4,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[0],SLICE_LUTX,SLICE_X8Y100/D6LUT,SLICE_X9Y103/B6LUT
read_bist_state17,4,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[13],SLICE_LUTX,SLICE_X11Y98/A6LUT,SLICE_X10Y101/D6LUT
read_bist_state17,4,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_row_d[2],SLICE_LUTX,SLICE_X11Y92/A6LUT,SLICE_X14Y91/A6LUT
idelay_programming,3,$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$N$memwr$idelay_dqs_cntvaluein$rtl/ddr3_controller.v:2497$N_DATA[4:0]$N[0],SLICE_LUTX,SLICE_X1Y64/D6LUT,SLICE_X3Y65/D6LUT
read_bist_state17,3,$abc$$lut$memoryddr3_top_inst.ddr3_controller_inst.o_wb_ack_read_q$wrmux[0][1][0]$y$N[1],SLICE_LUTX,SLICE_X11Y83/A5LUT,SLICE_X9Y82/B5LUT
read_bist_state17,3,$abc$$lutddr3_top_inst.ddr3_controller_inst.shift_reg_read_pipe_d[3][2],SLICE_LUTX,SLICE_X9Y89/A5LUT,SLICE_X8Y87/A5LUT
read_bist_state17,3,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[11],SLICE_LUTX,SLICE_X10Y99/C6LUT,SLICE_X11Y97/C6LUT
read_bist_state17,3,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[14],SLICE_LUTX,SLICE_X8Y100/B6LUT,SLICE_X10Y101/C6LUT
read_bist_state17,3,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage1_next_row_d[6],SLICE_LUTX,SLICE_X10Y99/B6LUT,SLICE_X11Y97/B6LUT
read_bist_state17,3,$abc$$lutddr3_top_inst.ddr3_controller_inst.stage2_row_d[7],SLICE_LUTX,SLICE_X11Y94/B6LUT,SLICE_X14Y94/A6LUT
read_bist_state17,3,bist_counts[10]$LUT$N,SLICE_LUTX,SLICE_X0Y194/C6LUT,SLICE_X0Y191/C6LUT
read_bist_state17,3,bist_counts[11]$LUT$N,SLICE_LUTX,SLICE_X0Y194/D6LUT,SLICE_X0Y191/D6LUT
read_bist_state17,3,bist_counts[12]$LUT$N,SLICE_LUTX,SLICE_X0Y195/A6LUT,SLICE_X0Y192/A6LUT
read_bist_state17,3,bist_counts[13]$LUT$N,SLICE_LUTX,SLICE_X0Y195/B6LUT,SLICE_X0Y192/B6LUT
read_bist_state17,3,bist_counts[14]$LUT$N,SLICE_LUTX,SLICE_X0Y195/C6LUT,SLICE_X0Y192/C6LUT
read_bist_state17,3,bist_counts[15]$LUT$N,SLICE_LUTX,SLICE_X0Y195/D6LUT,SLICE_X0Y192/D6LUT
read_bist_state17,3,bist_counts[16]$LUT$N,SLICE_LUTX,SLICE_X0Y196/A6LUT,SLICE_X0Y193/A6LUT
read_bist_state17,3,bist_counts[17]$LUT$N,SLICE_LUTX,SLICE_X0Y196/B6LUT,SLICE_X0Y193/B6LUT
read_bist_state17,3,bist_counts[18]$LUT$N,SLICE_LUTX,SLICE_X0Y196/C6LUT,SLICE_X0Y193/C6LUT
read_bist_state17,3,bist_counts[19]$LUT$N,SLICE_LUTX,SLICE_X0Y196/D6LUT,SLICE_X0Y193/D6LUT
read_bist_state17,3,bist_counts[1]$LUT$N,SLICE_LUTX,SLICE_X0Y192/B6LUT,SLICE_X0Y189/B6LUT
read_bist_state17,3,bist_counts[20]$LUT$N,SLICE_LUTX,SLICE_X0Y197/A6LUT,SLICE_X0Y194/A6LUT
read_bist_state17,3,bist_counts[21]$LUT$N,SLICE_LUTX,SLICE_X0Y197/B6LUT,SLICE_X0Y194/B6LUT
read_bist_state17,3,bist_counts[22]$LUT$N,SLICE_LUTX,SLICE_X0Y197/C6LUT,SLICE_X0Y194/C6LUT
read_bist_state17,3,bist_counts[23]$LUT$N,SLICE_LUTX,SLICE_X0Y197/D6LUT,SLICE_X0Y194/D6LUT
read_bist_state17,3,bist_counts[24]$LUT$N,SLICE_LUTX,SLICE_X0Y198/A6LUT,SLICE_X0Y195/A6LUT
read_bist_state17,3,bist_counts[25]$LUT$N,SLICE_LUTX,SLICE_X0Y198/B6LUT,SLICE_X0Y195/B6LUT
read_bist_state17,3,bist_counts[26]$LUT$N,SLICE_LUTX,SLICE_X0Y198/C6LUT,SLICE_X0Y195/C6LUT
read_bist_state17,3,bist_counts[27]$LUT$N,SLICE_LUTX,SLICE_X0Y198/D6LUT,SLICE_X0Y195/D6LUT
read_bist_state17,3,bist_counts[28]$LUT$N,SLICE_LUTX,SLICE_X0Y199/A6LUT,SLICE_X0Y196/A6LUT
read_bist_state17,3,bist_counts[29]$LUT$N,SLICE_LUTX,SLICE_X0Y199/B6LUT,SLICE_X0Y196/B6LUT
read_bist_state17,3,bist_counts[2]$LUT$N,SLICE_LUTX,SLICE_X0Y192/C6LUT,SLICE_X0Y189/C6LUT
read_bist_state17,3,bist_counts[30]$LUT$N,SLICE_LUTX,SLICE_X0Y199/C6LUT,SLICE_X0Y196/C6LUT
read_bist_state17,3,bist_counts[31]$LUT$N,SLICE_LUTX,SLICE_X0Y199/D6LUT,SLICE_X0Y196/D6LUT
read_bist_state17,3,bist_counts[3]$LUT$N,SLICE_LUTX,SLICE_X0Y192/D6LUT,SLICE_X0Y189/D6LUT
read_bist_state17,3,bist_counts[4]$LUT$N,SLICE_LUTX,SLICE_X0Y193/A6LUT,SLICE_X0Y190/A6LUT
read_bist_state17,3,bist_counts[5]$LUT$N,SLICE_LUTX,SLICE_X0Y193/B6LUT,SLICE_X0Y190/B6LUT
read_bist_state17,3,bist_counts[6]$LUT$N,SLICE_LUTX,SLICE_X0Y193/C6LUT,SLICE_X0Y190/C6LUT
read_bist_state17,3,bist_counts[7]$LUT$N,SLICE_LUTX,SLICE_X0Y193/D6LUT,SLICE_X0Y190/D6LUT
read_bist_state17,3,bist_counts[8]$LUT$N,SLICE_LUTX,SLICE_X0Y194/A6LUT,SLICE_X0Y191/A6LUT
read_bist_state17,3,bist_counts[9]$LUT$N,SLICE_LUTX,SLICE_X0Y194/B6LUT,SLICE_X0Y191/B6LUT
idelay_programming,2,$abc$$lut$flattenddr3_top_inst.ddr3_controller_inst.$N$memwr$idelay_data_cntvaluein$rtl/ddr3_controller.v:2496$N_DATA[4:0]$N[0],SLICE_LUTX,SLICE_X1Y66/B6LUT,SLICE_X2Y67/B6LUT
read_bist_state17,1,$abc$$lut$memoryddr3_top_inst.ddr3_controller_inst.o_wb_ack_read_q$wrmux[0][1][0]$y$N[2],SLICE_LUTX,SLICE_X10Y82/A5LUT,SLICE_X9Y82/A5LUT
