plot,feature_layer,feature,n_pass,n_fail,pass_min_ps,pass_median_ps,pass_max_ps,fail_min_ps,fail_median_ps,fail_max_ps,failure_free_interval_kind,failure_free_low_ps,failure_free_high_ps,failure_free_width_ps,failure_free_pass_points_inside,best_rule,threshold_ps,false_fail_pass_points,false_pass_fail_points,threshold_errors,threshold_error_rate,threshold_error_balance
signed_baseline_seed_31_60_skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq7_ctrl_0_dqs_vs_dq_bit_,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_0__dqs_vs_dq_bit__value_ps,63,40,-1470.0,-23.0,777.0,-976.0,-239.5,804.0,low_tail,-1470.0,-976.0,494.0,2,fail_le_threshold,-569.5,7,30,37,0.359223,30
signed_baseline_seed_1_30_skew_signed_dqs_bus_skew_minus_dq_median_idelay_cntvaluein_skew_lane0_dqs0_ctrl_none,skew,signed_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_none__dqs_vs_dq_bus_skew__value_ps,63,40,-985.0,-135.0,768.5,-615.5,177.75,858.0,low_tail,-985.0,-615.5,369.5,7,fail_ge_threshold,182.0,17,20,37,0.359223,20
signed_baseline_abort2_vs_pass_skew_signed_dqs_bus_skew_minus_dq_median_idelay_cntvaluein_skew_lane0_dqs0_ctrl,skew,signed_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_none__dqs_vs_dq_bus_skew__value_ps,63,40,-985.0,-135.0,768.5,-615.5,177.75,858.0,low_tail,-985.0,-615.5,369.5,7,fail_ge_threshold,182.0,17,20,37,0.359223,20
signed_baseline_abort2_vs_pass_skew_signed_ld_minus_cntvaluein_dq_median_idelay_ld_cntvaluein_skew_lane0_no_bi,skew,signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_2__ld_vs_cntvaluein_dq_lane__value_ps,63,40,-799.5,24.5,779.0,-1017.0,151.25,835.5,internal_gap,-1017.0,-702.5,314.5,2,fail_ge_threshold,138.25,18,19,37,0.359223,19
signed_baseline_seed_31_60_skew_signed_ld_minus_cntvaluein_dq_median_idelay_ld_cntvaluein_skew_lane0_no_bit_ct,skew,signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_2__ld_vs_cntvaluein_dq_lane__value_ps,63,40,-799.5,24.5,779.0,-1017.0,151.25,835.5,internal_gap,-1017.0,-702.5,314.5,2,fail_ge_threshold,138.25,18,19,37,0.359223,19
signed_baseline_abort2_vs_pass_skew_signed_ld_minus_cntvaluein_dq_median_idelay_ld_cntvaluein_skew_lane1_no_bi,skew,signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_2__ld_vs_cntvaluein_dq_lane__value_ps,63,40,-513.0,87.0,727.0,-727.0,157.25,698.5,internal_gap,-539.5,-364.0,175.5,3,fail_le_threshold,-526.25,0,37,37,0.359223,37
signed_baseline_seed_31_60_skew_signed_ld_minus_cntvaluein_dq_median_idelay_ld_cntvaluein_skew_lane1_no_bit_ct,skew,signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_2__ld_vs_cntvaluein_dq_lane__value_ps,63,40,-513.0,87.0,727.0,-727.0,157.25,698.5,internal_gap,-539.5,-364.0,175.5,3,fail_le_threshold,-526.25,0,37,37,0.359223,37
signed_baseline_seed_1_30_skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq6_ctrl_0_dqs_vs_dq_bit_v,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_0__dqs_vs_dq_bit__value_ps,63,40,-1477.0,-19.0,856.0,-859.0,-185.0,744.0,low_tail,-1477.0,-859.0,618.0,1,fail_le_threshold,-680.5,4,34,38,0.368932,34
signed_baseline_seed_31_60_skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq6_ctrl_0_dqs_vs_dq_bit_,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_0__dqs_vs_dq_bit__value_ps,63,40,-1477.0,-19.0,856.0,-859.0,-185.0,744.0,low_tail,-1477.0,-859.0,618.0,1,fail_le_threshold,-680.5,4,34,38,0.368932,34
signed_baseline_seed_31_60_skew_signed_ld_minus_cntvaluein_dqs_idelay_ld_cntvaluein_skew_lane0_dqs0_ctrl_4_ld_,skew,signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_4__ld_vs_cntvaluein_dqs__value_ps,63,40,-815.0,-30.0,1151.0,-1135.0,76.5,1171.0,internal_gap,776.0,1171.0,395.0,1,fail_le_threshold,-928.0,0,38,38,0.368932,38
signed_baseline_seed_1_30_skew_signed_lane1_minus_lane0_dq_median_idelay_cntvaluein_skew_all_no_bit_ctrl_1_lan,skew,signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_1__lane1_vs_lane0_dq__value_ps,63,40,-889.5,-335.0,8.5,-591.5,-332.5,85.5,low_tail,-889.5,-591.5,298.0,5,fail_ge_threshold,-65.5,2,36,38,0.368932,36
signed_baseline_abort2_vs_pass_skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq6_ctrl_2_dqs_vs_dq_,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_2__dqs_vs_dq_bit__value_ps,63,40,-938.0,-184.0,906.0,-982.0,-20.0,1011.0,internal_gap,592.0,794.0,202.0,2,fail_ge_threshold,923.5,0,38,38,0.368932,38
signed_baseline_abort2_vs_pass_skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq7_ctrl_2_dqs_vs_dq_,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_2__dqs_vs_dq_bit__value_ps,63,40,-1056.0,-163.0,835.0,-981.0,-117.0,863.0,internal_gap,-861.0,-690.0,171.0,7,fail_ge_threshold,836.5,0,38,38,0.368932,38
signed_baseline_seed_1_30_skew_signed_ld_dqs_minus_dq_median_idelay_ld_skew_lane0_dqs0_ctrl_none_dqs_vs_dq_lan,skew,signed_ld_dqs_minus_dq_median__idelay_ld_skew__lane0__dqs0__ctrl_none__dqs_vs_dq_lane__value_ps,63,40,-308.5,-56.0,288.0,-277.0,-50.25,218.0,high_tail,218.0,288.0,70.0,5,fail_ge_threshold,67.75,11,27,38,0.368932,27
signed_baseline_seed_1_30_skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq1_ctrl_0_dqs_vs_dq_bit_v,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_0__dqs_vs_dq_bit__value_ps,63,40,-1527.0,-104.0,960.0,-929.0,-177.0,871.0,low_tail,-1527.0,-929.0,598.0,2,fail_le_threshold,-430.5,10,29,39,0.378641,29
signed_baseline_seed_1_30_skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq2_ctrl_0_dqs_vs_dq_bit_v,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_0__dqs_vs_dq_bit__value_ps,63,40,-1381.0,-75.0,778.0,-901.0,-219.0,779.0,low_tail,-1381.0,-901.0,480.0,2,fail_le_threshold,-563.0,7,32,39,0.378641,32
signed_baseline_abort2_vs_pass_skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq11_ctrl_2_dqs_vs_dq,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_2__dqs_vs_dq_bit__value_ps,63,40,-978.0,-28.0,1068.0,-943.0,44.5,717.0,high_tail,717.0,1068.0,351.0,5,fail_le_threshold,-448.0,5,34,39,0.378641,34
signed_baseline_seed_31_60_skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane0_dq2_ctrl_2_dqs_vs_dq_bit_,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_2__dqs_vs_dq_bit__value_ps,63,40,-970.0,-122.0,997.0,-890.0,-86.0,1014.0,internal_gap,809.0,1014.0,205.0,3,fail_ge_threshold,698.0,3,36,39,0.378641,36
signed_baseline_seed_31_60_skew_signed_lane1_minus_lane0_dqs_idelay_cntvaluein_skew_all_no_bit_ctrl_1_lane1_vs,skew,signed_lane1_minus_lane0_dqs__idelay_cntvaluein_skew__all__no_bit__ctrl_1__lane1_vs_lane0_dqs__value_ps,63,40,-523.0,-274.0,85.0,-583.0,-276.5,161.0,internal_gap,15.0,161.0,146.0,4,fail_le_threshold,-381.0,7,32,39,0.378641,32
signed_baseline_abort2_vs_pass_skew_signed_dqs_minus_dq_bit_idelay_cntvaluein_skew_lane1_dq8_ctrl_2_dqs_vs_dq_,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_2__dqs_vs_dq_bit__value_ps,63,40,-1308.0,-132.0,1159.0,-836.0,-150.5,483.0,high_tail,483.0,1159.0,676.0,7,fail_le_threshold,-573.0,5,35,40,0.38835,35
