seed,hardware_transition,baseline_experiment_id,locked_experiment_id,baseline_pass,locked_pass,baseline_abort_reason,locked_abort_reason,locked_abort_reason_name,feature,metric,family,lane,bit,control_bit,scope,baseline_value_ps,locked_value_ps,delta_ps,baseline_abs_ps,locked_abs_ps,delta_abs_ps,baseline_sign,locked_sign,sign_flip,abs_improved,abs_worsened
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,0,dqs_vs_dq_bit,-587,-339,248,587,339,-248,negative,negative,False,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,1,dqs_vs_dq_bit,847,171,-676,847,171,-676,positive,positive,False,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,2,dqs_vs_dq_bit,291,-439,-730,291,439,148,positive,negative,True,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,3,dqs_vs_dq_bit,291,44,-247,291,44,-247,positive,positive,False,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,4,dqs_vs_dq_bit,-26,22,48,26,22,-4,negative,positive,True,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,0,dqs_vs_dq_bit,-862,-477,385,862,477,-385,negative,negative,False,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,1,dqs_vs_dq_bit,668,-33,-701,668,33,-635,positive,negative,True,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,2,dqs_vs_dq_bit,105,-612,-717,105,612,507,positive,negative,True,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,3,dqs_vs_dq_bit,183,-417,-600,183,417,234,positive,negative,True,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,4,dqs_vs_dq_bit,-495,-536,-41,495,536,41,negative,negative,False,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,0,dqs_vs_dq_bit,-592,-571,21,592,571,-21,negative,negative,False,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,1,dqs_vs_dq_bit,928,258,-670,928,258,-670,positive,positive,False,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,2,dqs_vs_dq_bit,291,-357,-648,291,357,66,positive,negative,True,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,3,dqs_vs_dq_bit,372,-48,-420,372,48,-324,positive,negative,True,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,4,dqs_vs_dq_bit,-115,17,132,115,17,-98,negative,positive,True,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,0,dqs_vs_dq_bit,-859,-648,211,859,648,-211,negative,negative,False,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,1,dqs_vs_dq_bit,880,224,-656,880,224,-656,positive,positive,False,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,2,dqs_vs_dq_bit,10,-786,-796,10,786,776,positive,negative,True,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,3,dqs_vs_dq_bit,189,-269,-458,189,269,80,positive,negative,True,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,4,dqs_vs_dq_bit,-597,-711,-114,597,711,114,negative,negative,False,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,0,dqs_vs_dq_bit,-852,-671,181,852,671,-181,negative,negative,False,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,1,dqs_vs_dq_bit,706,230,-476,706,230,-476,positive,positive,False,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,2,dqs_vs_dq_bit,13,-783,-796,13,783,770,positive,negative,True,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,3,dqs_vs_dq_bit,275,-511,-786,275,511,236,positive,negative,True,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,4,dqs_vs_dq_bit,-590,-703,-113,590,703,113,negative,negative,False,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,0,dqs_vs_dq_bit,-820,-638,182,820,638,-182,negative,negative,False,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,1,dqs_vs_dq_bit,454,450,-4,454,450,-4,positive,positive,False,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,2,dqs_vs_dq_bit,309,-493,-802,309,493,184,positive,negative,True,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,3,dqs_vs_dq_bit,102,-417,-519,102,417,315,positive,negative,True,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,4,dqs_vs_dq_bit,-243,-245,-2,243,245,2,negative,negative,False,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,0,dqs_vs_dq_bit,-828,-518,310,828,518,-310,negative,negative,False,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,1,dqs_vs_dq_bit,630,326,-304,630,326,-304,positive,positive,False,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,2,dqs_vs_dq_bit,367,-207,-574,367,207,-160,positive,negative,True,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,3,dqs_vs_dq_bit,301,-68,-369,301,68,-233,positive,negative,True,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,4,dqs_vs_dq_bit,-59,63,122,59,63,4,negative,positive,True,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,0,dqs_vs_dq_bit,-739,-638,101,739,638,-101,negative,negative,False,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,1,dqs_vs_dq_bit,590,312,-278,590,312,-278,positive,positive,False,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,2,dqs_vs_dq_bit,225,-401,-626,225,401,176,positive,negative,True,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,3,dqs_vs_dq_bit,10,-507,-517,10,507,497,positive,negative,True,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,4,dqs_vs_dq_bit,-92,-334,-242,92,334,242,negative,negative,False,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,0,dqs_vs_dq_bit,-741,-577,164,741,577,-164,negative,negative,False,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,1,dqs_vs_dq_bit,717,235,-482,717,235,-482,positive,positive,False,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,2,dqs_vs_dq_bit,283,-125,-408,283,125,-158,positive,negative,True,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,3,dqs_vs_dq_bit,211,-91,-302,211,91,-120,positive,negative,True,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,4,dqs_vs_dq_bit,-59,143,202,59,143,84,negative,positive,True,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,0,dqs_vs_dq_bit,-828,-669,159,828,669,-159,negative,negative,False,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,1,dqs_vs_dq_bit,449,367,-82,449,367,-82,positive,positive,False,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,2,dqs_vs_dq_bit,142,-299,-441,142,299,157,positive,negative,True,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,3,dqs_vs_dq_bit,-80,-599,-519,80,599,519,negative,negative,False,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,4,dqs_vs_dq_bit,-67,-340,-273,67,340,273,negative,negative,False,False,True
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq15__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq15,0,dqs_vs_dq_bit,-527,-439,88,527,439,-88,negative,negative,False,True,False
31,fail_to_pass,baseline-no-lock-seed-31,cntvaluein3-skew-locked-seed-31,False,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq15__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq15,1,dqs_vs_dq_bit,683,191,-492,683,191,-492,positive,positive,False,True,False
