feature,metric,family,lane,bit,control_bit,scope,n_total,sign_flip_total,abs_improved_total,abs_worsened_total,fail_to_pass_n,fail_to_pass_median_delta_ps,fail_to_pass_median_delta_abs_ps,fail_to_pass_sign_flip_count,fail_to_pass_abs_improved_count,fail_to_pass_abs_worsened_count,fail_to_fail_n,fail_to_fail_median_delta_ps,fail_to_fail_median_delta_abs_ps,fail_to_fail_sign_flip_count,fail_to_fail_abs_improved_count,fail_to_fail_abs_worsened_count,pass_to_fail_n,pass_to_fail_median_delta_ps,pass_to_fail_median_delta_abs_ps,pass_to_fail_sign_flip_count,pass_to_fail_abs_improved_count,pass_to_fail_abs_worsened_count,pass_to_pass_n,pass_to_pass_median_delta_ps,pass_to_pass_median_delta_abs_ps,pass_to_pass_sign_flip_count,pass_to_pass_abs_improved_count,pass_to_pass_abs_worsened_count,passfail_minus_failpass_median_delta_ps,passfail_minus_failpass_sign_flip_rate,contrast_score
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,0,dqs_vs_dq_bit,30,11,13,17,13,134,-134,5,7,6,3,-71,71,0,1,2,8,-488,94.5,3,3,5,6,75,192,3,2,4,-622,-0.009615,622.9615
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,0,dqs_vs_dq_bit,30,13,18,12,13,159,-101,5,8,5,3,200,-200,0,3,0,8,-435,-31.5,4,4,4,6,228,-2.5,4,3,3,-594,0.115385,605.5385
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,0,dqs_vs_dq_bit,30,11,19,11,13,116,-116,3,10,3,3,273,-243,1,3,0,8,-475,3,3,4,4,6,226,99,4,2,4,-591,0.144231,605.4231
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,2,dqs_vs_dq_bit,30,15,17,13,13,-147,77,6,6,7,3,-551,-209,3,2,1,8,429.5,-196,2,5,3,6,-31.5,-112.5,4,4,2,576.5,-0.211538,597.6538
signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_0__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,0,dqs_vs_dq_lane,30,12,18,12,13,135,-115,5,9,4,3,1,-1,0,2,1,8,-451.25,-50.5,3,5,3,6,222,161.5,4,2,4,-586.25,-0.009615,587.2115
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,0,dqs_vs_dq_bit,30,12,17,13,13,134,-134,4,10,3,3,-107,107,1,1,2,8,-387.5,-144.5,4,5,3,6,178,212,3,1,5,-521.5,0.192308,540.7308
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,0,dqs_vs_dq_bit,30,14,17,13,13,126,36,6,6,7,3,254,-127,1,3,0,8,-396,-96,3,5,3,6,288,55,4,3,3,-522,-0.086538,530.6538
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,0,dqs_vs_dq_bit,30,12,19,11,13,139,-139,5,9,4,3,161,-161,0,2,1,8,-361.5,-82.5,3,5,3,6,358.5,50.5,4,3,3,-500.5,-0.009615,501.4615
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,0,dqs_vs_dq_bit,30,14,20,10,13,159,-62,5,8,5,3,98,-98,0,3,0,8,-328,-76,4,6,2,6,205,34.5,5,3,3,-487,0.115385,498.5385
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,2,dqs_vs_dq_bit,30,17,19,11,13,-120,76,7,6,7,3,-286,-266,3,2,1,8,360.5,-311.5,3,7,1,6,91,-65.5,4,4,2,480.5,-0.163462,496.8462
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,0,dqs_vs_dq_bit,30,12,20,10,13,78,-56,3,9,4,3,108,-108,1,2,1,8,-391,-32,4,5,3,6,181.5,-76.5,4,4,2,-469,0.269231,495.9231
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,2,dqs_vs_dq_bit,30,11,16,14,13,-132,298,5,4,9,3,-475,51,2,1,2,8,323.5,-106.5,2,6,2,6,19.5,-235.5,2,5,1,455.5,-0.134615,468.9615
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,0,dqs_vs_dq_bit,30,11,19,11,13,136,-136,5,10,3,3,132,-132,0,2,1,8,-321.5,-68,3,5,3,6,222.5,123,3,2,4,-457.5,-0.009615,458.4615
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_1__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,1,ld_vs_cntvaluein_dqs,30,19,18,12,13,-71,-157,6,9,4,3,357,77,2,1,2,8,-461,-32.5,6,4,4,6,-292.5,-42,5,4,2,-390,0.288462,418.8462
signed_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_none__dqs_vs_dq_bus_skew__value_ps,signed_dqs_bus_skew_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,,dqs_vs_dq_bus_skew,30,13,18,12,13,-287.5,-68.5,7,8,5,3,258.5,277,1,0,3,8,83,-88.5,3,7,1,6,-529.75,133,2,3,3,370.5,-0.163462,386.8462
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq15__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq15,0,dqs_vs_dq_bit,30,18,13,16,13,243,138,8,5,8,3,133,5,2,0,2,8,-118,-69.5,3,5,3,6,86.5,-17,5,3,3,-361,-0.240385,385.0385
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,3,dqs_vs_dq_bit,30,8,19,11,13,-57,-145,3,9,4,3,468,124,2,1,2,8,326,-427,2,6,2,6,-78,48.5,1,3,3,383,0.019231,384.9231
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,2,dqs_vs_dq_bit,30,13,12,18,13,116,157,6,5,8,3,9,-294,2,2,1,8,-237.5,210.5,3,3,5,6,81,79,2,2,4,-353.5,-0.086538,362.1538
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq9,2,dqs_vs_dq_bit,30,15,17,13,13,167,-113,8,9,4,3,-156,-18,2,2,1,8,-170.5,-17,4,4,4,6,125,125,1,2,4,-337.5,-0.115385,349.0385
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane1__dqs1__ctrl_1__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane1,dqs1,1,ld_vs_cntvaluein_dqs,30,19,12,18,13,-54,139,9,4,9,3,-209,170,2,0,3,8,-392.5,-20.5,5,4,4,6,-201.5,-52.5,3,4,2,-338.5,-0.067308,345.2308
signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_2__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane1,,2,ld_vs_cntvaluein_dq_lane,30,17,9,21,13,-142,36,10,5,8,3,87.5,87.5,0,1,2,8,174.25,172.75,4,2,6,6,375.25,350.25,3,1,5,316.25,-0.269231,343.1731
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq6__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq6,1,dqs_vs_dq_bit,30,17,19,11,13,113,-113,6,10,3,3,-457,104,2,0,3,8,432.5,-356.5,5,6,2,6,614,-160.5,4,3,3,319.5,0.163462,335.8462
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane0__dqs0__ctrl_0__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane0,dqs0,0,ld_vs_cntvaluein_dqs,30,14,16,14,13,-300,-100,5,7,6,3,52,52,1,1,2,8,7.5,28.5,5,3,5,6,174.5,-174.5,3,5,1,307.5,0.240385,331.5385
signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_0__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,0,ld_vs_cntvaluein_dq_lane,30,16,13,17,13,191,43.5,6,6,7,3,373.5,-57.5,3,2,1,8,-130.75,153.75,4,3,5,6,302,34.25,3,2,4,-321.75,0.038462,325.5962
signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_3__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,3,ld_vs_cntvaluein_dq_lane,30,18,8,22,13,-770,205,7,2,11,3,-295,222,3,1,2,8,-468.25,24.75,3,4,4,6,-306,135.5,5,1,5,301.75,-0.163462,318.0962
signed_ld_minus_cntvaluein_dqs__idelay_ld_cntvaluein_skew__lane1__dqs1__ctrl_0__ld_vs_cntvaluein_dqs__value_ps,signed_ld_minus_cntvaluein_dqs,idelay_ld_cntvaluein_skew,lane1,dqs1,0,ld_vs_cntvaluein_dqs,30,14,19,11,13,-129,-129,6,10,3,3,-159,-159,0,2,1,8,152,-14.5,6,4,4,6,-202,-20.5,2,3,3,281,0.288462,309.8462
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,1,dqs_vs_dq_bit,30,20,20,10,13,22,-325,10,9,4,3,-425,-117,2,3,0,8,291,-260,3,6,2,6,379.5,125.5,5,2,4,269,-0.394231,308.4231
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq12__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq12,2,dqs_vs_dq_bit,30,14,15,15,13,113,164,7,6,7,3,-81,-141,1,3,0,8,-164.5,154,2,3,5,6,122,-10,4,3,3,-277.5,-0.288462,306.3462
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq9,3,dqs_vs_dq_bit,30,13,16,14,13,-61,-61,6,9,4,3,221,191,2,1,2,8,226,78.5,5,3,5,6,-29,-29,0,3,3,287,0.163462,303.3462
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,1,dqs_vs_dq_bit,30,21,19,11,13,-50,-271,9,8,5,3,-594,-155,3,3,0,8,230.5,-153.5,4,5,3,6,377.5,46,5,3,3,280.5,-0.192308,299.7308
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq2__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq2,1,dqs_vs_dq_bit,30,13,19,11,13,-12,-201,5,9,4,3,-455,159,2,0,3,8,269,-208,2,6,2,6,416,-119.5,4,4,2,281,-0.134615,294.4615
signed_lane1_minus_lane0_dq_median__idelay_cntvaluein_skew__all__no_bit__ctrl_2__lane1_vs_lane0_dq__value_ps,signed_lane1_minus_lane0_dq_median,idelay_cntvaluein_skew,all,,2,lane1_vs_lane0_dq,30,4,13,17,13,-143,143,2,4,9,3,-153,153,1,1,2,8,124.25,-66.75,1,5,3,6,70.25,-70.25,0,3,3,267.25,-0.028846,270.1346
signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_4__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,4,ld_vs_cntvaluein_dq_lane,30,14,13,17,13,-363.5,212,5,5,8,3,-246.5,20,2,1,2,8,-121.25,95.5,5,4,4,6,0,0,2,3,3,242.25,0.240385,266.2885
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,3,dqs_vs_dq_bit,30,16,15,15,13,-66,-66,6,8,5,3,637,122,2,0,3,8,191.5,15,3,4,4,6,-94,-26,5,3,3,257.5,-0.086538,266.1538
signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_4__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane1,,4,ld_vs_cntvaluein_dq_lane,30,15,9,21,13,-220,10,7,6,7,3,381,381,2,1,2,8,40.25,105,4,1,7,6,126.25,223.75,2,1,5,260.25,-0.038462,264.0962
signed_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_none__dqs_vs_dq_bus_skew__value_ps,signed_dqs_bus_skew_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,,dqs_vs_dq_bus_skew,30,9,12,18,13,-1.5,50,4,3,10,3,261.5,261.5,0,1,2,8,249.25,-16,3,5,3,6,-353.25,27.75,2,3,3,250.75,0.067308,257.4808
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq15__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq15,2,dqs_vs_dq_bit,30,8,16,14,13,108,-12,6,8,5,3,-63,-63,0,2,1,8,-105.5,5.5,1,4,4,6,184,184,1,2,4,-213.5,-0.336538,247.1538
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,1,dqs_vs_dq_bit,30,16,18,12,13,188,100,9,6,7,3,-171,7,3,1,2,8,-1,-96,1,7,1,6,128.5,-107.5,3,4,2,-189,-0.567308,245.7308
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq13__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq13,2,dqs_vs_dq_bit,30,17,11,19,13,-114,-13,8,7,6,3,123,19,2,1,2,8,113,145,4,2,6,6,17.5,50.5,3,1,5,227,-0.115385,238.5385
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq15__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq15,3,dqs_vs_dq_bit,30,11,17,13,13,-92,-64,6,8,5,3,514,82,2,1,2,8,117,10,2,4,4,6,-136.5,-136.5,1,4,2,209,-0.211538,230.1538
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,2,dqs_vs_dq_bit,30,12,17,13,13,110,184,6,6,7,3,-57,-57,2,3,0,8,-97.5,97.5,2,4,4,6,27.5,-62.5,2,4,2,-207.5,-0.211538,228.6538
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq5__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq5,3,dqs_vs_dq_bit,30,10,19,11,13,-21,-152,4,8,5,3,399,295,2,1,2,8,198,-198,3,6,2,6,-71.5,-41,1,4,2,219,0.067308,225.7308
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq9,0,dqs_vs_dq_bit,30,16,15,15,13,157,45,7,5,8,3,-4,-5,2,2,1,8,-35,-29.5,2,5,3,6,40.5,-26,5,3,3,-192,-0.288462,220.8462
signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_1__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,1,dqs_vs_dq_lane,30,15,19,11,13,92.5,-199,6,10,3,3,-365,31,2,0,3,8,304.25,-257.5,3,6,2,6,447.5,-7.25,4,3,3,211.75,-0.086538,220.4038
signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_2__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,2,ld_vs_cntvaluein_dq_lane,30,16,10,20,13,-101.5,96,8,4,9,3,-229,207,1,1,2,8,115.25,13.5,5,3,5,6,499.75,204,2,2,4,216.75,0.009615,217.7115
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq9__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq9,4,dqs_vs_dq_bit,30,18,18,12,13,22,-62,8,10,3,3,465,190,3,1,2,8,232.5,-7.5,5,5,3,6,106,106,2,2,4,210.5,0.009615,211.4615
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,3,dqs_vs_dq_bit,30,16,17,13,13,-51,-13,7,7,6,3,760,60,2,1,2,8,140,-39,3,5,3,6,-57,-12.5,4,4,2,191,-0.163462,207.3462
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq4__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq4,1,dqs_vs_dq_bit,30,16,19,11,13,137,-208,7,10,3,3,-385,24,2,0,3,8,310.5,-244.5,2,6,2,6,370.5,-32,5,3,3,173.5,-0.288462,202.3462
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,2,dqs_vs_dq_bit,30,16,14,16,13,16,62,8,5,8,3,-234,-378,3,3,0,8,-133,133,1,3,5,6,195,-18,4,3,3,-149,-0.490385,198.0385
signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane1__no_bit__ctrl_0__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane1,,0,ld_vs_cntvaluein_dq_lane,30,14,11,19,13,59.5,54.5,8,5,8,3,590,447,1,1,2,8,-126.25,142.25,4,3,5,6,224.75,318.75,1,2,4,-185.75,-0.115385,197.2885
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq14__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq14,4,dqs_vs_dq_bit,30,11,12,18,13,-245,60,5,6,7,3,312,-55,1,2,1,8,-72,98,4,2,6,6,53,66.5,1,2,4,173,0.115385,184.5385
signed_ld_minus_cntvaluein_dq_median__idelay_ld_cntvaluein_skew__lane0__no_bit__ctrl_1__ld_vs_cntvaluein_dq_lane__value_ps,signed_ld_minus_cntvaluein_dq_median,idelay_ld_cntvaluein_skew,lane0,,1,ld_vs_cntvaluein_dq_lane,30,15,16,14,13,-5.5,-25,5,7,6,3,-221.5,151.5,3,1,2,8,-160,-40.75,5,5,3,6,48.5,-69.75,2,3,3,-154.5,0.240385,178.5385
signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_3__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,3,dqs_vs_dq_lane,30,12,14,16,13,-67.5,90,5,6,7,3,606.5,171,2,1,2,8,95.75,-28.25,2,4,4,6,-108,-41.75,3,3,3,163.25,-0.134615,176.7115
signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq8__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq8,1,dqs_vs_dq_bit,30,11,14,16,13,78,-146,5,8,5,3,-390,390,1,0,3,8,-56,-2,0,4,4,6,120,126,5,2,4,-134,-0.384615,172.4615
